Estacion;Fecha inicial;PM2.5
ZIPAQUIRÁ - EFZ;2024-01-01 20:00;17.72
ZIPAQUIRÁ - EFZ;2024-01-01 19:00;10.68
ZIPAQUIRÁ - EFZ;2024-01-01 18:00;3.12
ZIPAQUIRÁ - EFZ;2024-01-01 17:00;6.08
ZIPAQUIRÁ - EFZ;2024-01-01 16:00;7.84
ZIPAQUIRÁ - EFZ;2024-01-01 15:00;4.0
ZIPAQUIRÁ - EFZ;2024-01-01 14:00;4.16
ZIPAQUIRÁ - EFZ;2024-01-01 13:00;8.14
ZIPAQUIRÁ - EFZ;2024-01-01 12:00;14.68
ZIPAQUIRÁ - EFZ;2024-01-01 11:00;32.29
ZIPAQUIRÁ - EFZ;2024-01-01 10:00;62.32
ZIPAQUIRÁ - EFZ;2024-01-01 09:00;45.76
ZIPAQUIRÁ - EFZ;2024-01-01 08:00;40.97
ZIPAQUIRÁ - EFZ;2024-01-01 07:00;64.52
ZIPAQUIRÁ - EFZ;2024-01-01 06:00;77.24
ZIPAQUIRÁ - EFZ;2024-01-01 05:00;82.88
ZIPAQUIRÁ - EFZ;2024-01-01 04:00;80.32
ZIPAQUIRÁ - EFZ;2024-01-01 03:00;86.79
ZIPAQUIRÁ - EFZ;2024-01-01 02:00;56.91
ZIPAQUIRÁ - EFZ;2024-01-01 01:00;30.82
ZIPAQUIRÁ - EFZ;2024-01-01 00:00;26.04
ZIPAQUIRÁ - EFZ;2023-12-31 22:00;21.84
ZIPAQUIRÁ - EFZ;2023-12-31 21:00;17.76
ZIPAQUIRÁ - EFZ;2023-12-31 20:00;11.96
ZIPAQUIRÁ - EFZ;2023-12-31 19:00;11.04
ZIPAQUIRÁ - EFZ;2023-12-31 18:00;12.08
ZIPAQUIRÁ - EFZ;2023-12-31 17:00;13.96
ZIPAQUIRÁ - EFZ;2023-12-31 16:00;12.92
ZIPAQUIRÁ - EFZ;2023-12-31 15:00;11.04
ZIPAQUIRÁ - EFZ;2023-12-31 14:00;12.2
ZIPAQUIRÁ - EFZ;2023-12-31 13:00;16.98
ZIPAQUIRÁ - EFZ;2023-12-31 12:00;15.56
ZIPAQUIRÁ - EFZ;2023-12-31 11:00;5.4
ZIPAQUIRÁ - EFZ;2023-12-31 10:00;15.36
ZIPAQUIRÁ - EFZ;2023-12-31 09:00;24.0
ZIPAQUIRÁ - EFZ;2023-12-31 08:00;23.72
ZIPAQUIRÁ - EFZ;2023-12-31 07:00;17.08
ZIPAQUIRÁ - EFZ;2023-12-31 06:00;18.84
ZIPAQUIRÁ - EFZ;2023-12-31 05:00;15.4
ZIPAQUIRÁ - EFZ;2023-12-31 04:00;24.76
ZIPAQUIRÁ - EFZ;2023-12-31 03:00;19.32
ZIPAQUIRÁ - EFZ;2023-12-31 02:00;26.48
ZIPAQUIRÁ - EFZ;2023-12-31 01:00;13.93
ZIPAQUIRÁ - EFZ;2023-12-31 00:00;11.89
ZIPAQUIRÁ - EFZ;2023-12-30 23:00;9.04
ZIPAQUIRÁ - EFZ;2023-12-30 22:00;10.32
ZIPAQUIRÁ - EFZ;2023-12-30 21:00;17.76
ZIPAQUIRÁ - EFZ;2023-12-30 20:00;12.08
ZIPAQUIRÁ - EFZ;2023-12-30 19:00;13.72
ZIPAQUIRÁ - EFZ;2023-12-30 18:00;6.07
ZIPAQUIRÁ - EFZ;2023-12-30 17:00;8.18
ZIPAQUIRÁ - EFZ;2023-12-30 16:00;13.04
ZIPAQUIRÁ - EFZ;2023-12-30 15:00;13.65
ZIPAQUIRÁ - EFZ;2023-12-30 14:00;4.0
ZIPAQUIRÁ - EFZ;2023-12-30 13:00;4.11
ZIPAQUIRÁ - EFZ;2023-12-30 12:00;7.21
ZIPAQUIRÁ - EFZ;2023-12-30 11:00;13.46
ZIPAQUIRÁ - EFZ;2023-12-30 10:00;26.32
ZIPAQUIRÁ - EFZ;2023-12-30 09:00;34.72
ZIPAQUIRÁ - EFZ;2023-12-30 08:00;26.58
ZIPAQUIRÁ - EFZ;2023-12-30 07:00;15.11
ZIPAQUIRÁ - EFZ;2023-12-30 06:00;17.79
ZIPAQUIRÁ - EFZ;2023-12-30 05:00;11.96
ZIPAQUIRÁ - EFZ;2023-12-30 04:00;11.07
ZIPAQUIRÁ - EFZ;2023-12-30 03:00;12.89
ZIPAQUIRÁ - EFZ;2023-12-30 02:00;10.04
ZIPAQUIRÁ - EFZ;2023-12-30 01:00;10.93
ZIPAQUIRÁ - EFZ;2023-12-30 00:00;9.35
ZIPAQUIRÁ - EFZ;2023-12-29 23:00;19.11
ZIPAQUIRÁ - EFZ;2023-12-29 22:00;21.65
ZIPAQUIRÁ - EFZ;2023-12-29 21:00;12.21
ZIPAQUIRÁ - EFZ;2023-12-29 20:00;17.72
ZIPAQUIRÁ - EFZ;2023-12-29 19:00;10.07
ZIPAQUIRÁ - EFZ;2023-12-29 18:00;11.86
ZIPAQUIRÁ - EFZ;2023-12-29 17:00;7.75
ZIPAQUIRÁ - EFZ;2023-12-29 16:00;1.04
ZIPAQUIRÁ - EFZ;2023-12-29 15:00;2.14
ZIPAQUIRÁ - EFZ;2023-12-29 14:00;6.18
ZIPAQUIRÁ - EFZ;2023-12-29 13:00;11.04
ZIPAQUIRÁ - EFZ;2023-12-29 12:00;13.0
ZIPAQUIRÁ - EFZ;2023-12-29 11:00;13.67
ZIPAQUIRÁ - EFZ;2023-12-29 10:00;32.0
ZIPAQUIRÁ - EFZ;2023-12-29 09:00;32.04
ZIPAQUIRÁ - EFZ;2023-12-29 08:00;32.61
ZIPAQUIRÁ - EFZ;2023-12-29 07:00;21.88
ZIPAQUIRÁ - EFZ;2023-12-29 06:00;18.88
ZIPAQUIRÁ - EFZ;2023-12-29 05:00;16.2
ZIPAQUIRÁ - EFZ;2023-12-29 04:00;20.28
ZIPAQUIRÁ - EFZ;2023-12-29 03:00;3.52
ZIPAQUIRÁ - EFZ;2023-12-29 02:00;15.96
ZIPAQUIRÁ - EFZ;2023-12-29 01:00;15.04
ZIPAQUIRÁ - EFZ;2023-12-29 00:00;15.76
ZIPAQUIRÁ - EFZ;2023-12-28 23:00;10.04
ZIPAQUIRÁ - EFZ;2023-12-28 22:00;11.04
ZIPAQUIRÁ - EFZ;2023-12-28 21:00;12.12
ZIPAQUIRÁ - EFZ;2023-12-28 20:00;14.92
ZIPAQUIRÁ - EFZ;2023-12-28 19:00;13.12
ZIPAQUIRÁ - EFZ;2023-12-28 18:00;15.48
ZIPAQUIRÁ - EFZ;2023-12-28 17:00;2.96
ZIPAQUIRÁ - EFZ;2023-12-28 16:00;1.96
ZIPAQUIRÁ - EFZ;2023-12-28 15:00;1.16
ZIPAQUIRÁ - EFZ;2023-12-28 14:00;5.16
ZIPAQUIRÁ - EFZ;2023-12-28 13:00;8.95
ZIPAQUIRÁ - EFZ;2023-12-28 12:00;7.44
ZIPAQUIRÁ - EFZ;2023-12-28 11:00;18.16
ZIPAQUIRÁ - EFZ;2023-12-28 09:00;31.84
